Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,141.350006,143.800003,138.649994,139.800003,139.800003,36835410
2021-12-08,141.000000,148.600006,140.250000,147.600006,147.600006,37324365
2021-12-09,148.649994,148.649994,145.300003,146.250000,146.250000,18377899
2021-12-10,144.100006,146.399994,139.750000,140.550003,140.550003,27881031
2021-12-13,142.199997,144.449997,141.899994,142.649994,142.649994,20318225
2021-12-14,144.699997,144.949997,140.000000,140.649994,140.649994,19474412
2021-12-15,140.500000,142.000000,140.000000,140.600006,140.600006,12791660
2021-12-16,141.899994,142.850006,137.399994,138.399994,138.399994,17182101
2021-12-17,138.949997,141.000000,132.350006,135.350006,135.350006,95386202
2021-12-20,135.300003,135.750000,124.599998,126.550003,126.550003,36064413
2021-12-21,128.850006,132.850006,128.600006,131.600006,131.600006,20442777
2021-12-22,133.050003,139.750000,133.000000,138.649994,138.649994,19425711
2021-12-23,140.050003,140.750000,132.100006,133.000000,133.000000,21934786
2021-12-24,134.500000,134.500000,129.600006,131.449997,131.449997,17625584
2021-12-27,131.350006,133.850006,128.000000,132.750000,132.750000,13934154
2021-12-28,133.699997,134.000000,131.649994,132.850006,132.850006,11170275
2021-12-29,132.699997,137.699997,131.550003,137.100006,137.100006,18914246
2021-12-30,137.050003,137.050003,133.300003,133.949997,133.949997,8369208
2021-12-31,133.850006,138.399994,133.399994,137.399994,137.399994,11452243
2022-01-03,139.699997,142.449997,138.300003,141.350006,141.350006,22518241
2022-01-04,141.350006,141.550003,137.600006,138.350006,138.350006,10705792
2022-01-05,137.899994,137.899994,133.300003,133.949997,133.949997,15874857
2022-01-06,133.000000,133.149994,129.600006,130.000000,130.000000,23780419
2022-01-07,130.000000,131.449997,129.000000,129.250000,129.250000,22846951
2022-01-10,130.500000,130.899994,129.399994,130.199997,130.199997,11389370
2022-01-11,131.000000,132.500000,130.000000,131.300003,131.300003,15396652
2022-01-12,132.100006,132.899994,131.600006,132.250000,132.250000,8004430
2022-01-13,132.500000,133.449997,132.350006,133.100006,133.100006,6535224
2022-01-14,133.100006,134.449997,132.050003,133.600006,133.600006,9443928
2022-01-17,133.600006,134.500000,133.000000,134.000000,134.000000,7515979
2022-01-18,134.500000,134.600006,132.800003,133.050003,133.050003,9428096
2022-01-19,131.699997,132.399994,128.250000,129.199997,129.199997,27812341
2022-01-20,127.949997,130.699997,125.000000,125.199997,125.199997,23290545
2022-01-21,125.150002,125.150002,112.550003,113.650002,113.650002,59805922
2022-01-24,114.000000,114.199997,90.949997,91.349998,91.349998,167044739
2022-01-25,90.949997,100.449997,84.150002,100.449997,100.449997,138336211
2022-01-27,98.000000,98.000000,90.449997,90.500000,90.500000,106488772
2022-01-28,93.599998,96.449997,88.800003,89.550003,89.550003,61452438
2022-01-31,91.349998,92.500000,89.650002,90.400002,90.400002,20203799
2022-02-01,91.750000,95.800003,91.050003,94.550003,94.550003,32606751
2022-02-02,95.750000,99.750000,94.800003,98.900002,98.900002,18674088
2022-02-03,98.500000,98.500000,96.099998,97.099998,97.099998,9769090
2022-02-04,97.199997,97.849998,93.599998,94.199997,94.199997,15354384
2022-02-07,95.099998,95.500000,93.349998,93.550003,93.550003,10900141
2022-02-08,94.349998,94.650002,91.250000,93.550003,93.550003,9026735
2022-02-09,94.500000,95.449997,93.599998,94.199997,94.199997,7876462
2022-02-10,94.900002,95.400002,93.000000,94.449997,94.449997,13257124
2022-02-11,92.750000,92.750000,86.500000,88.699997,88.699997,39976783
2022-02-14,87.000000,87.000000,80.550003,82.449997,82.449997,35049550
2022-02-15,83.500000,84.650002,75.750000,82.699997,82.699997,106216252
2022-02-16,85.000000,87.000000,84.250000,84.949997,84.949997,33106605
2022-02-17,86.500000,90.099998,85.900002,89.150002,89.150002,29566401
2022-02-18,88.099998,88.400002,85.199997,85.900002,85.900002,15037123
2022-02-21,84.199997,84.800003,80.650002,81.550003,81.550003,18853339
2022-02-22,78.000000,80.550003,77.000000,79.699997,79.699997,28814770
2022-02-23,82.000000,85.150002,81.199997,84.150002,84.150002,19847603
2022-02-24,78.650002,81.500000,78.099998,78.500000,78.500000,22035319
2022-02-25,82.000000,83.400002,78.150002,78.800003,78.800003,22876044
2022-02-28,79.000000,80.949997,76.550003,79.949997,79.949997,41975659
2022-03-02,80.000000,82.000000,79.000000,79.849998,79.849998,20353225
2022-03-03,81.500000,83.199997,81.199997,82.199997,82.199997,16067224
2022-03-04,80.500000,82.900002,79.500000,80.199997,80.199997,15145236
2022-03-07,79.000000,79.650002,78.000000,79.000000,79.000000,9764606
2022-03-08,79.250000,80.599998,77.599998,78.150002,78.150002,12381953
2022-03-09,79.449997,80.650002,78.900002,80.349998,80.349998,11887757
2022-03-10,82.550003,83.949997,81.699997,82.199997,82.199997,13476206
2022-03-11,82.400002,82.400002,79.500000,79.900002,79.900002,18964704
2022-03-14,80.699997,80.699997,79.000000,79.300003,79.300003,7261365
2022-03-15,79.300003,79.599998,76.000000,76.550003,76.550003,18900800
2022-03-16,80.000000,80.000000,75.500000,75.949997,75.949997,42383305
2022-03-17,77.199997,82.000000,76.800003,80.849998,80.849998,34440238
2022-03-21,82.000000,83.300003,79.250000,80.400002,80.400002,28669864
2022-03-22,80.949997,81.900002,79.300003,81.150002,81.150002,23798591
2022-03-23,82.000000,82.000000,80.199997,80.750000,80.750000,12522850
2022-03-24,80.699997,82.349998,80.050003,80.349998,80.349998,12996477
2022-03-25,81.000000,81.849998,80.250000,80.599998,80.599998,13585986
2022-03-28,80.599998,81.000000,79.150002,79.650002,79.650002,10034667
2022-03-29,80.050003,80.500000,78.050003,78.199997,78.199997,13466521
2022-03-30,79.000000,86.000000,78.500000,85.050003,85.050003,41305975
2022-03-31,88.699997,88.699997,81.750000,82.300003,82.300003,34672910
2022-04-01,82.099998,85.599998,82.050003,84.300003,84.300003,15586812
2022-04-04,84.400002,87.699997,84.400002,86.250000,86.250000,18040882
2022-04-05,83.000000,85.150002,82.349998,83.900002,83.900002,28433443
2022-04-06,83.750000,85.300003,83.150002,84.550003,84.550003,10697018
2022-04-07,84.800003,85.250000,82.250000,82.500000,82.500000,9709022
2022-04-08,83.500000,85.500000,82.750000,83.400002,83.400002,14851737
2022-04-11,83.150002,85.849998,83.000000,84.449997,84.449997,17609808
2022-04-12,84.300003,84.300003,81.000000,81.500000,81.500000,12913673
2022-04-13,82.500000,88.300003,82.150002,83.900002,83.900002,52988189
2022-04-18,83.699997,84.400002,82.550003,82.900002,82.900002,14209908
2022-04-19,83.099998,83.900002,79.449997,80.449997,80.449997,13439870
2022-04-20,81.599998,82.300003,80.000000,80.300003,80.300003,12797463
2022-04-21,81.099998,81.849998,80.650002,80.800003,80.800003,6780602
2022-04-22,80.699997,81.800003,80.199997,81.199997,81.199997,7211263
2022-04-25,80.500000,81.599998,78.599998,78.750000,78.750000,16717052
2022-04-26,80.599998,80.900002,78.599998,79.599998,79.599998,9548939
2022-04-27,79.400002,79.599998,75.500000,75.849998,75.849998,23626624
2022-04-28,77.349998,77.599998,73.500000,73.849998,73.849998,21338831
2022-04-29,74.699997,74.849998,71.099998,71.750000,71.750000,24873682
2022-05-02,71.750000,71.900002,68.750000,69.500000,69.500000,18464589
2022-05-04,69.750000,70.000000,63.900002,64.449997,64.449997,43049544
2022-05-05,65.750000,66.650002,60.500000,61.150002,61.150002,40296393
2022-05-06,59.299999,62.299999,57.650002,60.500000,60.500000,47189321
2022-05-09,59.599998,60.400002,55.650002,56.750000,56.750000,38279098
2022-05-10,55.750000,56.750000,50.049999,52.450001,52.450001,45135581
2022-05-11,52.000000,56.450001,50.299999,54.200001,54.200001,99812774
2022-05-12,53.799999,53.900002,51.049999,51.950001,51.950001,37338266
2022-05-13,53.299999,59.200001,52.250000,56.849998,56.849998,79292212
