Date,Open,High,Low,Close,Adj Close,Volume
2022-04-06,3137.000000,3165.000000,3113.000000,3154.000000,3131.409668,736379
2022-04-07,3154.000000,3208.949951,3145.500000,3155.000000,3132.402344,1025244
2022-04-08,3168.000000,3220.000000,3151.199951,3206.250000,3183.285400,678898
2022-04-11,3184.000000,3222.000000,3150.000000,3157.449951,3134.834717,672652
2022-04-12,3154.699951,3162.100098,3114.149902,3128.649902,3106.240967,794265
2022-04-13,3117.199951,3121.899902,3066.100098,3080.649902,3058.584717,1121350
2022-04-18,3056.000000,3058.000000,3013.000000,3021.550049,2999.908203,1032504
2022-04-19,3030.000000,3059.199951,2970.000000,2991.199951,2969.775635,749782
2022-04-20,2991.300049,3089.500000,2980.000000,3083.000000,3060.917969,838182
2022-04-21,3089.800049,3174.399902,3086.050049,3158.250000,3135.629150,1069035
2022-04-22,3121.500000,3173.300049,3113.250000,3164.399902,3141.735107,681191
2022-04-25,3134.000000,3155.100098,3095.100098,3130.600098,3108.177246,1096774
2022-04-26,3130.000000,3148.699951,3105.800049,3125.649902,3103.262451,1703441
2022-04-27,3096.000000,3164.000000,3085.949951,3148.350098,3125.800049,963536
2022-04-28,3190.000000,3268.000000,3170.000000,3247.699951,3224.438477,2001838
2022-04-29,3249.000000,3278.000000,3221.300049,3237.199951,3214.013428,1088970
2022-05-02,3195.000000,3211.500000,3154.050049,3200.000000,3177.080078,595522
2022-05-04,3178.000000,3194.699951,3081.449951,3100.850098,3078.640381,1120002
2022-05-05,3104.750000,3126.949951,3070.000000,3076.550049,3054.514160,724601
2022-05-06,3020.000000,3052.399902,3003.899902,3016.250000,2994.646240,923941
2022-05-09,3000.850098,3038.800049,2975.000000,3005.250000,2983.725098,998324
2022-05-10,3051.000000,3138.750000,3036.000000,3086.350098,3064.244141,2460016
2022-05-11,3090.399902,3109.550049,2979.000000,3053.649902,3031.778320,1883969
2022-05-12,3042.000000,3078.000000,2988.000000,3039.949951,3018.176270,1254245
2022-05-13,3074.399902,3116.250000,3035.300049,3064.000000,3042.054199,1121729
2022-05-16,3089.899902,3089.899902,2985.199951,2999.899902,2978.413086,733044
2022-05-17,2998.899902,3056.600098,2951.000000,3050.000000,3028.154541,1179081
