Date,Open,High,Low,Close,Adj Close,Volume
11/17/2022,422,427.549988,419.600006,423.149994,423.149994,15621809
11/18/2022,424,426.450012,421.149994,423.799988,423.799988,9851962
11/21/2022,425.600006,427.600006,420,421.100006,421.100006,9497812
11/22/2022,421,426.399994,420.5,424.700012,424.700012,6407614
11/23/2022,426.850006,429.299988,422.850006,424.049988,424.049988,6568241
11/24/2022,424.5,425.25,420.700012,423.399994,423.399994,6768613
11/25/2022,425,435.149994,424,433.200012,433.200012,18764073
11/28/2022,435,440.350006,432.399994,433.25,433.25,10701208
11/29/2022,432.5,437.899994,429.549988,433.149994,433.149994,8630105
11/30/2022,435,441,433.299988,439.399994,439.399994,14727892
12/1/2022,443,443.600006,436.850006,438.25,438.25,8909310
12/2/2022,439,441.149994,435,435.399994,435.399994,8352658
12/5/2022,435.5,437.5,427.799988,428.75,428.75,12857807
12/6/2022,428.799988,431.350006,425.350006,427.100006,427.100006,8461831
